review_index,score,content_preview,detected_problems,keywords_found,problem_count
49,1,"eror gabisa masuk aplikasi, lewat google juga gabisa, lewat email juga gabisa, maunya gimana, mau ak...",['Login_Authentication'],"['login', 'masuk']",1
50,1,"udah daftar tapi selalu stuck di kode otp, ditunggu lama ga muncul-muncul, klik ""kirim ulang"" berkal...",['Performance_Speed'],['stuck'],1
51,1,"demi allah mau cari lowongan kerja ngelah banget, tolong yang buat aplikasi di cek ini kenapaa aplik...","['Performance_Speed', 'Network_Connection']","['lag', 'ngelag', 'sinyal']",2
52,1,ini knpa mau klaim jkp ke 3 nya kok susah amat ya..udah swafoto statusnya ditunda terus.. padahal da...,"['Performance_Speed', 'Crashes_Errors', 'Data_Sync']","['lag', 'bug', 'data']",3
53,1,"guna nya bikin aplikasi ini buat apa gak guna banget,wajah tdk terdeteksi sudah hampir 20x trus saya...",['Other_Issues'],[],1
54,1,"aplikasinya bagus sebenernya menawarkan banyak pelatihan"" yang gratis dan bermanfaat, tapi kenapa pa...",['Performance_Speed'],['loading'],1
55,1,"parah sih sekelas aplikasi pemerintah loh, masa kalah sama aplikasi² lain. seharusnya semua bisa dia...",['Performance_Speed'],['lag'],1
56,1,"padahal termasuk aplikasi yg di awasi oleh instansi pemerintah, tp aplikasi ini tidak berbobot. mala...","['Login_Authentication', 'Crashes_Errors']","['masuk', 'gagal']",2
57,1,mau verifikasi gak bisa-bisa!! udah nunggu dari pagi sampai sore duduk berjam-jam gak ada hasilnya d...,"['Login_Authentication', 'Features_Functionality', 'Customer_Service']","['masuk', 'gak ada', 'komplain']",3
58,1,percuma dong download aplikasi klo masih di arahkan ke web nya??? mana webnya lemot parah. web nya a...,"['Performance_Speed', 'User_Interface', 'Installation_Update']","['lemot', 'loading', 'lag', 'menu', 'download']",3
59,1,masih banyak kekurangan.untuk menu hapus akun tidak ada.menu pengaduan juga tidak bisa di klik.dan u...,"['Login_Authentication', 'Performance_Speed', 'User_Interface', 'Features_Functionality']","['login', 'akun', 'lag', 'menu', 'tidak ada']",4
60,1,"sudah coba daftar ketika verifikasi nama ibu malah keterangannya ""terdapat beberapa data yang tidak ...","['Features_Functionality', 'Data_Sync']","['tidak ada', 'data']",2
61,1,aktivasi via otp no. hp malah dikirim via email.. kita nungguuiiin kenapa ga dikirim-kirim ternyata ...,"['Login_Authentication', 'Performance_Speed', 'User_Interface', 'Features_Functionality']","['masuk', 'lag', 'ui', 'ga ada']",4
62,1,"sangat kecewa.. udah daftar pelatihan kerja di bpvp samarinda, gak ada konfirmasi sama sekali via ap...","['Network_Connection', 'Features_Functionality']","['offline', 'gak ada']",2
63,1,"maaf apknya jelek, masa iya buka aplikasi malah dialihkan ke web. ya kalau gitu di web aja udah bisa...","['Performance_Speed', 'Installation_Update']","['lag', 'download']",2
64,1,"buka link via web buat lapor atau aduan disuruh unduh app nya, oke, unduh, buat akun, masuk, klik me...","['Login_Authentication', 'Performance_Speed', 'User_Interface', 'Features_Functionality']","['login', 'masuk', 'akun', 'lag', 'menu', 'fungsi']",4
65,1,"buruk sekali, padahal saya butuh pelatihan kerja aplikasi tidak mendukung pada saat mendaftar pelati...",['Other_Issues'],[],1
66,1,baru juga mau daftar malah tidak bisa padahal semuanya sudah benar bahkan email pun sudah benar tapi...,['Login_Authentication'],['masuk'],1
67,1,"pengajuan pertama tgl 02 febuari sukses pengajuan ke 2 tgl 02 maret ditolak , karena alasan yg gak m...","['Login_Authentication', 'Features_Functionality', 'Notification_Alerts']","['masuk', 'gak ada', 'pemberitahuan']",3
68,1,apk belum jadi sepenuhnya malah di rilis yaa gini nih banyak bug masalah sana sini. bukanya berbenah...,"['Crashes_Errors', 'Features_Functionality']","['bug', 'hilang']",2
69,1,"pantesan dapet rating rendah, pemeliharaan aplikasinya jarang sekali, butuh update software agar bug...","['Performance_Speed', 'Crashes_Errors', 'Features_Functionality', 'Installation_Update']","['lemot', 'lag', 'bug', 'hilang', 'update']",4
70,1,"hekh, ini apk, saya belum pernah mendaftar, kenapa pada pengisian no.ktp saya sudah terdaftar, trus ...",['Other_Issues'],[],1
71,1,"terlalu ribet apknya, klik karir di arahkan ke hal web, gak ada menu pencarian berdasarkan wilayah s...","['User_Interface', 'Features_Functionality']","['menu', 'gak ada']",2
72,1,"gimana mau ikut pelatihan kalo mau login aja ngga bisa, setiap mau masuk infonya nik sudah terdaftar...","['Login_Authentication', 'Features_Functionality', 'Customer_Service', 'Installation_Update']","['login', 'masuk', 'fungsi', 'bantuan', 'update']",4
73,1,"pemerintah kalo bikin kya gini ngasal ngabisin anggaran doang fungsi nya ttep ga jelas, menang d tam...","['Performance_Speed', 'Crashes_Errors', 'Network_Connection', 'User_Interface', 'Features_Functionality', 'Installation_Update']","['loading', 'error', 'internet', 'tampilan', 'fungsi', 'update']",6
74,1,untuk apa unduh apk jika pas nge klik pindah ke web ditambah ketika klik ikut pelatihan kok gak munc...,['Other_Issues'],[],1
75,1,kenapa tiap aplikasi dr pemerintah kebanyakan ga berguna. developernya yg ga becus atau cuma permain...,['Other_Issues'],[],1
76,1,"tidak pernah benar kalau pemerintah bikin aplikasi, masa sudah ada apk nya tetap nyari loker diarahk...",['Features_Functionality'],['gak ada'],1
77,1,"membuat kartu kuning sangat susah sekali, bukannya mempermudah jadi malah tambah sulit tambah lagi j...","['Performance_Speed', 'Network_Connection']","['lag', 'jaringan']",2
78,1,"aplikasi buruk, gabisa bikin akun. pake data dan wifi pun sama aja gabisa. buat akun diarahin ke goo...","['Login_Authentication', 'Data_Sync']","['akun', 'data']",2
79,1,"tolonglah apk nya di benerin, masa daftar akun aja eror mulu, dtg ke kntor disnaker gk boleh buat ka...",['Login_Authentication'],['akun'],1
80,1,"aplikasi cacat, tidak bisa digunakan, setelah daftar tadi bisa login, bener"" cacat, anggaran besar b...",['Login_Authentication'],['login'],1
81,1,aplikasi cacat kenapa langsung di launching sih?. sekelas aplikasi punya pemerintah banyak bug nya 🗿...,"['Performance_Speed', 'Crashes_Errors']","['lag', 'gagal', 'bug']",2
82,1,mau lewat app ataupun website tetap error sekarang skillhub cuma blank doang loading gak beres beres...,"['Performance_Speed', 'Crashes_Errors']","['loading', 'error']",2
83,1,niat mau bikin kartu ak1 via online terus tinggal ke disnaker ambil kartu ini malah apk nya lagi yg ...,['Performance_Speed'],['lag'],1
84,1,aplikasi rese udah verifikasi disuruh verifikasi ulang mana lemot lagi ga bisa loading kalau emang g...,['Performance_Speed'],"['lemot', 'loading', 'lag']",1
85,1,"sekelas aplikasi negara kayak aplikasi buatan bocah yang coba coba, dikit dikir error, pas error di ...","['Crashes_Errors', 'Customer_Service']","['error', 'laporan']",2
86,1,aplikasi macam apa ini tidak ada update terbaru lowongan kerja serta tidak ada perbaikan aplikasi ta...,"['Features_Functionality', 'Installation_Update']","['tidak ada', 'update']",2
87,1,ini aplikasi yang paling buat ngakak. tiap ada program dilarikan ke pencarian web. padahal udah basi...,['Installation_Update'],['download'],1
88,1,"setiap daftar trs suka log out sendiri, setiap mau masuk akun lg suka ga bisa, tolong untuk di bener...",['Login_Authentication'],"['masuk', 'akun']",1
89,1,sayang sekali program yang bagus namun rata rata jarak untuk menempuh program tersebut sangat jauh d...,['Other_Issues'],[],1
90,1,"aplikasi nya lemot susah buat login padahal sinyal bagus, hp kapasitas masih kosong, emang aplikasin...","['Login_Authentication', 'Performance_Speed', 'Network_Connection']","['login', 'lambat', 'lemot', 'sinyal']",3
91,1,"mau daftar aja susahnya minta ampun, udah masukin email dengan benar tetep aja ga dikirim kirim kode...","['Login_Authentication', 'User_Interface']","['masuk', 'ui']",2
92,1,"aplikasinya ga jelas, setiap masuk apknya loading terus padahal jaringan bagus di pke scroll tt sama...","['Login_Authentication', 'Performance_Speed', 'Network_Connection']","['masuk', 'loading', 'jaringan']",3
93,1,"ya allah, aku mau login aja susah banget, kode otp ga masuk, pas ngulang malah ngelag, tolong udah b...","['Login_Authentication', 'Performance_Speed', 'User_Interface', 'Features_Functionality']","['login', 'masuk', 'lag', 'ngelag', 'menu', 'tidak ada']",4
94,1,"mohon di perbarui lagi ya, karena apk nya lemot banget nunggu loading aja lama, nyoba di apk lemot n...","['Performance_Speed', 'User_Interface']","['lemot', 'loading', 'lag', 'ui']",2
95,1,lagi lagi klo aplikasi dari negara seperti ini mlu ada aja bug nya hadeh dari mulai gamau masuk lah ...,"['Login_Authentication', 'Performance_Speed', 'Crashes_Errors']","['masuk', 'lag', 'bug']",3
96,1,"saya mau claim jkp susah banget untuk upload dokument pdf, padahal besar file nya dibawah 80kb. tapi...","['Login_Authentication', 'Network_Connection']","['masuk', 'akun', 'internet']",2
97,1,"saya tidak bisa mendaftar di aplikasi ini,sudah saya masukkan data yg diminta semuanya,tetap gak ses...","['Login_Authentication', 'Network_Connection', 'Data_Sync']","['masuk', 'offline', 'data']",3
98,1,"klo bisa online knp harus dtg ke kantor? lama jg pelayanannya, dulu msh manual dan ternyata msh akti...",['Login_Authentication'],['password'],1
99,1,"aplikasi norak, lembaga sebesar kementrian tapi aplikasinya lemot banget, kalian ini didanai dari ap...",['Performance_Speed'],['lemot'],1
100,1,"tidak berguna, webnya juga sama. perbaikilah secara lanjut padahal programnya bagus, cuma pengelolaa...",['Data_Sync'],['data'],1
101,1,"kode otp keterangan terkirim tapi tidak pernah terkirim, sudah menunggu lama dan berulang mintak kir...",['User_Interface'],['menu'],1
102,1,13/6/24 gw daftar di aplikasi pelatihan tgl 19 juni dan daftar ulang tanggal 15 juni. pas datang tgl...,['Data_Sync'],['data'],1
103,1,"masak isi pasword suda ikuti panduan suruh balik 7 jam , sudah 7 jam ngisi verifikasih gak bisa , ma...",['Performance_Speed'],['lag'],1
104,1,ini gmna ya mau masuk tapi lupa sandi giliran di ubah dgn akun gmail g bsa verifikasi no sbb no lama...,['Login_Authentication'],"['masuk', 'akun', 'sandi']",1
105,1,"saya log in pake nomor hp ternyata yg tertera bukan nik dan email saya, mau coba ikut pelatihan tapi...",['Performance_Speed'],['lag'],1
106,1,aku awalnya gk mempermasalahkan aplikasi nya yg sering balik ke beranda awal karna walaupun balik ta...,['Other_Issues'],[],1
107,1,"aplikasi ribet, plis klo buat apk nih harus dibenerin banyak errornya klo perlu buat lagi gk guna kl...","['Login_Authentication', 'Performance_Speed', 'Crashes_Errors', 'Data_Sync']","['masuk', 'lag', 'error', 'data']",4
108,1,"(hari ke1) pngajuan klaim jkp bln pertma via apk sllu ggl krna sllu ggal selfie, dicoba lbih dri bls...",['User_Interface'],['ui'],1
109,1,"aplikasi gak jelas, server down error. padahal aplikasi ini penting banget buat pencaker. emang apli...",['Crashes_Errors'],['error'],1
110,1,"buruk banget , app sama web sama buruk nya .. masa akun yang no hp nya ngga aktif lagi ,,ngga ada so...","['Login_Authentication', 'Performance_Speed', 'Features_Functionality']","['masuk', 'akun', 'lag', 'ga ada']",3
111,1,"agak lucu yg develop aplikasi siap kerja, sebagai programmer senior di perusahaan multinasional di a...",['Installation_Update'],['install'],1
112,1,saya mau ngisi bagian keahlian slalu ngga bisa ? aneh loh padahal saya sudah mencoba beberapa kali t...,['Crashes_Errors'],['gagal'],1
113,1,"aplikasi error klaim jkp bulan ke 3 swapoto tidak tersimpan sudah mencoba beberapa kali, gmn sih.. t...","['Crashes_Errors', 'Data_Sync']","['error', 'tidak tersimpan']",2
114,1,"app gajelas, lupa password pas mau bikin password baru selalu via no.hp, gabisa via email, coba (mik...",['Login_Authentication'],"['password', 'lupa password']",1
