score,user,message,date
2,anime chenel,kenapa aplikasi nya eror terus gak bisa masuk akun,2025-05-14 07:12:29
2,arrob bani,ini kenapa ga bisa login login ya?,2025-06-11 18:34:08
2,ZAHRA NOVIANI,mau login ga bisa kode otp ga masuk,2025-05-25 02:42:37
2,Herry Bwi Official,Perlu Di Tingkatkan... Masih Bingung Ane,2025-06-20 12:13:47
2,majojocui,"Mau login susah, kirim OTP via sms lambreta, gimana sih? Ngeliat ulasan yang lain saya makin skeptis sama aplikasinya",2023-05-12 01:46:08
2,Pande Redana,Untuk pencarian ID CTKI knpa masih belum bisa ya?,2023-02-27 06:04:47
2,Vanesa Enka,Udh 100% kok gk bisa selesai download nya,2025-02-12 13:43:16
2,Solekan Slamet,mau ngisi di bagian KK tapi gak bisa di scrool pada kolom bulan nya.. hadehhh,2025-01-30 04:13:37
2,Joni Bayu setiawan,min tolong dong servernya di update masa dari kemaren daftar percari kerja eror mulu sih,2024-06-15 13:19:46
2,indrie girls,salah isi survey tidak bisa dirubah lagi aplikasi sangat membingungkan orang orang,2023-10-30 09:08:10
2,Alia Fansyah,Tolong min saya lupa password untuk log in dan nomor hp nya udh ilang cara agar bisa log in kembali tanpa harus lewat nomor hp gimna ya,2024-01-21 06:38:24
2,Demusthika,bekerja dalam negeri/diluar negeri,2023-03-17 04:01:00
2,dede Kamaludin,Kenapa ga bisa masuk yah padahal ram hp standar kasuh bintang 2,2024-08-30 01:51:20
2,Mae Munah,"Pas mau melengkapi biodata pas di bagian lokasi sesuai KTP, tapi kabupaten yang ada di KTP aja gak ada di pilihan",2024-07-02 11:08:49
2,parTopi Tao Toba,"Tolong lebih aktif lagi,menanggapin pengaduan pekerja,tks",2023-01-24 19:21:28
2,miftahul ulum jaya motor,Mau daftar aja susah padah nik udah sesuai,2022-11-03 12:19:36
2,Mhd Saleh,"Aplikasi sering bermasalah, sehinggal gagal klaim JKP.",2024-02-19 09:06:14
2,Muhammad Firman,"Aplikasi rumit, bukan mempermudah pengguna nya",2023-08-12 12:42:03
2,WLF_ MINT'S,"Masih belum puas dengan aplikasi ini, mempersulit urusan penggunanya",2023-10-21 17:47:06
2,doel channel,udah masukin NIK dengan sesuai malah ngga bisa.. pembohong inimah,2024-09-11 07:13:28
2,G4stCraft,Guna apk ini buat apa dah klo ujung2nya langsung ke website chrome,2023-08-02 03:16:53
2,Wira Fernando Sibagariang,"Mau CLaim manfaat ke 4, syarat nya Sudah melamar lebih dari 5 x tapi update nya masih 2x doang. Tolong dibantu...",2024-05-15 06:49:34
2,Koeosk Tamayaki,Tulisan opsional tapi bersifat wajib kocak ni developer nya,2023-10-06 04:59:45
2,Heni Rohaeni,"Baru mau download, ko banyak yg ksh rating buruk yaa? Jadi ragu utk lanjut download",2024-05-18 02:43:16
2,Agus Prayitno,PP terverifikasi TPI tidak bisa di download gmna ini,2023-03-02 05:00:16
2,mon Mon,"Tidak bisa daftar pelatihan,",2024-05-28 17:56:29
2,desipatul hotima,Mau ubah alamat aja ngga bisa bisa. Loading mulu,2025-02-28 09:00:07
2,Milan bobonk,Saya kirim kode otp tp tidak di krm2 ini gimana yah pdhl nomere sudah sesuai,2023-07-11 14:42:11
2,Muhamad Rizki Ramdani,Kok buka apk nya aja lama sih,2025-07-16 02:43:34
2,Habibi Iman,terlalu lemot,2025-06-28 12:44:35
2,Murbasari Murbasari,"Tolong di optimal kan bayak yg berharap,,,",2023-11-30 04:24:37
2,Nyong Rein,kasi tau cara cek nmor pendaftran online gimana ?,2025-06-05 03:53:59
2,Muhammad Parizi,Udah di instal tapi gak bisa di buka.....,2024-01-17 11:12:32
2,OPIK DBP,hanya menunggu jawaban,2025-05-29 23:53:24
2,Alex Alex,Sangat membantu sekali baggus programnya...,2024-02-08 03:23:14
2,ANDRIAN RAPON,"Good app,erorr di nik ktp,ibu kandung",2023-03-13 17:05:25
2,Yanti Purwanti,Klaim ke 6 pasti di korupsi,2025-05-12 13:55:04
2,Dewi Ratih,Ini buat bikin kartu kuning kah dari kemarin susah bener bikin kartu kuning?,2024-07-05 05:00:34
2,Siti Chaerunisa,Mau login nya aja susah bgt,2023-01-01 14:12:48
2,Dedi Putra yansyah,Gak bisa loding bos,2023-02-23 13:15:23
2,Susilo Wati,Saya tidak bisa mengaktif kan siap kerja,2024-12-17 16:17:36
2,Kelana Wach,kenapa gak bisa di buka,2023-06-07 10:21:28
2,alimun ayib,banyak margin error,2024-05-30 15:36:47
2,Mawan Art,"TOLONG DONG, KLO LUPA KATA SANDI OTP NYA JANGAN HANYA KE NO HP TAPI ADA PILIHAN KE EMAIL JUGA DONG",2024-05-09 14:24:32
2,Nasar Chennel Official,kírim kodé otp ngak bísa masuk kode ñya ke sms pdahal kartu ttp aktif,2023-07-27 14:51:14
2,KARNA 04,"Ulasan masyarakat mohon di simak dengan baik.. balas,",2023-10-18 04:29:14
2,Nailatul Yuanita,eror trus disuruh support kemnaker. id mlu,2024-07-04 15:09:50
2,Andii Sulolipu,Ada saja kendala nya,2025-01-21 07:00:46
2,Cecepsonjaya Sonjaya,Domisili nggak lengkap,2025-02-06 05:56:35
2,Imron Rosyadi,"Bikin ribet, knpa ada harus BPJS segala",2023-08-02 04:24:26
2,anw,ko malah buka crome,2024-07-17 18:22:05
2,Hasbi Amrillah,mau buat surat AK1 aja ribett,2025-03-01 15:02:25
2,Bahri Rahman,Kasih 2 aja dulu,2023-08-24 14:17:11
2,Dwi Nurhayati,apk tergajelas.,2025-04-14 15:53:21
2,Rahma Sriyanto,lemot bangettttt,2025-05-19 08:50:26
2,Andri Gunawan,loading berat....,2024-08-11 20:54:12
2,Ikbal Maulana,Lemot,2024-05-15 15:42:24
2,Eko Apriyanto,"ini pada saat verifikasi nama ibu kandung gagal , terdapat perbedaan nomor induk ? jelas jelas sesuai KTP . minta tolong dong min",2023-06-23 02:57:14
2,Aqil Virgiawan,Kerja pt,2023-11-10 18:45:32
2,Mega Kusuma,Susah,2023-06-08 05:49:42
